File Name,#Nodes,#Edges,Total Capacity,Average Degree,Density,#ConnectedComponents,Maximal Independent sets,#Bridges,Dominating set size,Is Chordal?,Degree Assortavity,Average clustering Coefficient,Transitivity,Diameter,Radius,Average Shortest Path
,,,,,,,,,,,,,,,,
DAI Stablecoin,,,,,,,,,,,,,,,,
N0_15_07_2020_21_30_44.json,24,44,3.70071E+020,3.66666666666667,0.159420289855072,1,10,7,12,FALSE,-0.061847857767415,0.212,0.278048780487805,5,3,2.47463768115942
N0_22_07_2020_15_25_43.json,27,46,3.83071E+020,3.40740740740741,0.131054131054131,2,14,9,13,FALSE,0.020020533880904,0.228,0.276699029126214,5,3,2.47463768115942
N0_29_07_2020_01_33_04.json,27,46,3.83071E+020,3.40740740740741,0.131054131054131,2,13,9,14,FALSE,0.020020533880904,0.186,0.276699029126214,5,3,2.47463768115942
N0_05_08_2020_07_41_15.json,27,46,3.83071E+020,3.40740740740741,0.131054131054131,2,11,9,12,FALSE,0.020020533880904,0.204,0.276699029126214,5,3,2.47463768115942
,,,,,,,,,,,,,,,,
Test Token,,,,,,,,,,,,,,,,
N1_15_07_2020_21_30_55.json,26,21,5.77110800003E+020,1.61538461538462,0.064615384615385,7,15,14,15,FALSE,-0.485197368421053,0.116,0.136363636363636,2,1,1.66666666666667
N1_22_07_2020_15_25_47.json,27,22,5.80110800003E+020,1.62962962962963,0.062678062678063,7,15,15,16,FALSE,-0.525073746312684,0.1,0.125,2,1,1.66666666666667
N1_29_07_2020_01_33_08.json,30,24,5.80128800003E+020,1.6,0.055172413793104,8,16,17,18,FALSE,-0.501955671447196,0.106,0.12,2,1,1.66666666666667
N1_05_08_2020_07_41_19.json,36,29,8.83328800003E+020,1.61111111111111,0.046031746031746,9,22,22,22,FALSE,-0.382879739474296,0.085,0.068181818181818,2,1,1.77777777777778
,,,,,,,,,,,,,,,,
Test Token,,,,,,,,,,,,,,,,
N2_15_07_2020_21_31_06.json,4684,4106,7.13126009530779E+021,1.7532023911187,0.00037437591098,884,2338,2583,2326,FALSE,-0.282979889894643,0.003,0.000609384521633,6,3,3.18382352941176
N2_22_07_2020_15_25_50.json,5122,4484,7.72056955529779E+021,1.7508785630613,0.000341901691674,974,2561,2811,2543,FALSE,-0.281224496695299,0.001,0.000558659217877,6,3,3.18382352941176
N2_29_07_2020_01_33_12.json,5306,4650,8.23644265529779E+021,1.75273275537128,0.000330392602332,1010,2651,2890,2635,FALSE,-0.264790461956073,0.002,0.001054852320675,3,2,1.97368421052632
N2_05_08_2020_07_41_23.json,5435,4768,8.63724545529779E+021,1.75455381784729,0.000322884397837,1030,2743,2963,2699,FALSE,-0.253083089788506,0.001,0.001029159519726,3,2,1.97835497835498
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Raiden-Energy-Token,,,,,,,,,,,,,,,,
N3_15_07_2020_21_31_17.json,51,125,1.29E+021,4.90196078431373,0.098039215686275,3,26,6,19,FALSE,-0.309363151468415,0.504,0.335593220338983,6,3,2.81919191919192
N3_22_07_2020_15_25_54.json,51,125,1.29E+021,4.90196078431373,0.098039215686275,3,29,6,28,FALSE,-0.309363151468415,0.498,0.335593220338983,6,3,2.81919191919192
N3_29_07_2020_01_33_22.json,62,165,1.423E+021,5.32258064516129,0.08725542041248,3,31,6,33,FALSE,-0.350680816010078,0.406,0.266666666666667,7,4,2.94935064935065
N3_05_08_2020_07_41_27.json,62,165,1.423E+021,5.32258064516129,0.08725542041248,3,26,6,31,FALSE,-0.350680816010078,0.407,0.266666666666667,7,4,2.94935064935065
